1,88,37,44
2,147,42,5
3,49,43,32
4,12,49,7
5,138,2,9
6,10,28,37
7,53,14,47
8,20,19,32
9,12,41,28
10,104,5,17
11,56,45,29
12,2,28,39
13,141,40,4
14,68,28,40
15,122,3,44
16,14,31,46
17,149,7,39
18,78,40,22
19,113,26,6
20,143,33,6
21,147,17,40
22,99,37,2
23,137,48,41
24,56,47,15
25,87,8,36
26,110,36,5
27,85,41,26
28,10,44,30
29,0,26,11
30,4,35,36
31,48,20,2
32,115,19,14
33,2,25,36
34,64,5,17
35,2,41,39
36,89,25,19
37,63,25,24
38,66,29,35
39,48,5,21
40,81,12,39
41,98,9,22
42,29,43,25
43,12,30,35
44,122,9,20
45,126,19,29
46,99,10,33
47,62,14,12
48,14,38,10
49,41,28,5
50,92,34,7
51,96,49,25
52,39,34,37
53,2,29,23
54,118,50,5
55,101,21,40
56,101,35,12
57,116,16,35
58,24,26,50
59,137,10,41
60,82,48,9
61,42,1,45
62,8,4,43
63,59,46,24
64,99,6,3
65,3,18,39
66,1,14,50
67,117,1,22
68,71,4,20
69,122,48,7
70,0,37,1
71,133,13,45
72,109,18,47
73,111,22,46
74,82,33,2
75,53,44,17
76,81,50,34
77,101,26,46
78,9,3,13
79,74,43,5
80,72,16,25
81,121,9,44
82,85,23,47
83,33,39,27
84,113,27,2
85,141,45,11
86,141,15,11
87,34,42,35
88,16,25,41
89,38,30,16
90,101,31,28
91,118,6,45
92,37,7,14
93,100,38,1
94,35,21,44
95,53,29,14
96,69,42,12
97,87,26,42
98,99,36,2
99,94,27,20
100,112,29,42
